Результат при  t_j = 3.0
setka	    q	        u	         q - u
1.10000000	10.21000000	10.21000000	0.00000000
1.15000000	10.32249044	10.32250000	-0.00000956
1.20000000	10.43998312	10.44000000	-0.00001688
1.25000000	10.56247768	10.56250000	-0.00002232
1.30000000	10.68997381	10.69000000	-0.00002619
1.35000000	10.82247125	10.82250000	-0.00002875
1.40000000	10.95996981	10.96000000	-0.00003019
1.45000000	11.10246931	11.10250000	-0.00003069
1.50000000	11.24996962	11.25000000	-0.00003038
1.55000000	11.40247061	11.40250000	-0.00002939
1.60000000	11.55997221	11.56000000	-0.00002779
1.65000000	11.72247434	11.72250000	-0.00002566
1.70000000	11.88997692	11.89000000	-0.00002308
1.75000000	12.06247992	12.06250000	-0.00002008
1.80000000	12.23998329	12.24000000	-0.00001671
1.85000000	12.42248701	12.42250000	-0.00001299
1.90000000	12.60999104	12.61000000	-0.00000896
1.95000000	12.80249538	12.80250000	-0.00000462
2.00000000	13.00000000	13.00000000	0.00000000
Норма погрешности решения: 9.456245885346135e-05

Результат при  t_j = 4.0
setka	    q	        u	         q - u
1.10000000	17.21000000	17.21000000	0.00000000
1.15000000	17.32248841	17.32250000	-0.00001159
1.20000000	17.43997931	17.44000000	-0.00002069
1.25000000	17.56247236	17.56250000	-0.00002764
1.30000000	17.68996728	17.69000000	-0.00003272
1.35000000	17.82246381	17.82250000	-0.00003619
1.40000000	17.95996176	17.96000000	-0.00003824
1.45000000	18.10246093	18.10250000	-0.00003907
1.50000000	18.24996117	18.25000000	-0.00003883
1.55000000	18.40246235	18.40250000	-0.00003765
1.60000000	18.55996436	18.56000000	-0.00003564
1.65000000	18.72246708	18.72250000	-0.00003292
1.70000000	18.88997044	18.89000000	-0.00002956
1.75000000	19.06247435	19.06250000	-0.00002565
1.80000000	19.23997875	19.24000000	-0.00002125
1.85000000	19.42248356	19.42250000	-0.00001644
1.90000000	19.60998874	19.61000000	-0.00001126
1.95000000	19.80249424	19.80250000	-0.00000576
2.00000000	20.00000000	20.00000000	0.00000000
Норма погрешности решения: 0.00011995260077581774

Результат при  t_j = 5.0
setka	    q	        u	         q - u
1.10000000	26.21000000	26.21000000	0.00000000
1.15000000	26.32248863	26.32250000	-0.00001137
1.20000000	26.43997973	26.44000000	-0.00002027
1.25000000	26.56247295	26.56250000	-0.00002705
1.30000000	26.68996799	26.69000000	-0.00003201
1.35000000	26.82246461	26.82250000	-0.00003539
1.40000000	26.95996260	26.96000000	-0.00003740
1.45000000	27.10246180	27.10250000	-0.00003820
1.50000000	27.24996204	27.25000000	-0.00003796
1.55000000	27.40246320	27.40250000	-0.00003680
1.60000000	27.55996515	27.56000000	-0.00003485
1.65000000	27.72246782	27.72250000	-0.00003218
1.70000000	27.88997110	27.89000000	-0.00002890
1.75000000	28.06247492	28.06250000	-0.00002508
1.80000000	28.23997921	28.24000000	-0.00002079
1.85000000	28.42248391	28.42250000	-0.00001609
1.90000000	28.60998898	28.61000000	-0.00001102
1.95000000	28.80249435	28.80250000	-0.00000565
2.00000000	29.00000000	29.00000000	0.00000000
Норма погрешности решения: 0.00011731239576006032

Результат при  t_j = 6.0
setka	    q	        u	         q - u
1.10000000	37.21000000	37.21000000	0.00000000
1.15000000	37.32248889	37.32250000	-0.00001111
1.20000000	37.43998022	37.44000000	-0.00001978
1.25000000	37.56247362	37.56250000	-0.00002638
1.30000000	37.68996882	37.69000000	-0.00003118
1.35000000	37.82246556	37.82250000	-0.00003444
1.40000000	37.95996364	37.96000000	-0.00003636
1.45000000	38.10246289	38.10250000	-0.00003711
1.50000000	38.24996314	38.25000000	-0.00003686
1.55000000	38.40246427	38.40250000	-0.00003573
1.60000000	38.55996618	38.56000000	-0.00003382
1.65000000	38.72246877	38.72250000	-0.00003123
1.70000000	38.88997194	38.89000000	-0.00002806
1.75000000	39.06247564	39.06250000	-0.00002436
1.80000000	39.23997980	39.24000000	-0.00002020
1.85000000	39.42248436	39.42250000	-0.00001564
1.90000000	39.60998928	39.61000000	-0.00001072
1.95000000	39.80249450	39.80250000	-0.00000550
2.00000000	40.00000000	40.00000000	0.00000000
Норма погрешности решения: 0.00011401931192317205

Результат при  t_j = 7.0
setka	    q	        u	         q - u
1.10000000	50.21000000	50.21000000	0.00000000
1.15000000	50.32248894	50.32250000	-0.00001106
1.20000000	50.43998031	50.44000000	-0.00001969
1.25000000	50.56247375	50.56250000	-0.00002625
1.30000000	50.68996898	50.69000000	-0.00003102
1.35000000	50.82246574	50.82250000	-0.00003426
1.40000000	50.95996384	50.96000000	-0.00003616
1.45000000	51.10246309	51.10250000	-0.00003691
1.50000000	51.24996335	51.25000000	-0.00003665
1.55000000	51.40246448	51.40250000	-0.00003552
1.60000000	51.55996638	51.56000000	-0.00003362
1.65000000	51.72246895	51.72250000	-0.00003105
1.70000000	51.88997211	51.89000000	-0.00002789
1.75000000	52.06247578	52.06250000	-0.00002422
1.80000000	52.23997992	52.24000000	-0.00002008
1.85000000	52.42248445	52.42250000	-0.00001555
1.90000000	52.60998933	52.61000000	-0.00001067
1.95000000	52.80249453	52.80250000	-0.00000547
2.00000000	53.00000000	53.00000000	-0.00000000
Норма погрешности решения: 0.00011339218245897843

Результат при  t_j = 8.0
setka	    q	        u	         q - u
1.10000000	65.21000000	65.21000000	0.00000000
1.15000000	65.32248893	65.32250000	-0.00001107
1.20000000	65.43998028	65.44000000	-0.00001972
1.25000000	65.56247372	65.56250000	-0.00002628
1.30000000	65.68996894	65.69000000	-0.00003106
1.35000000	65.82246570	65.82250000	-0.00003430
1.40000000	65.95996379	65.96000000	-0.00003621
1.45000000	66.10246304	66.10250000	-0.00003696
1.50000000	66.24996329	66.25000000	-0.00003671
1.55000000	66.40246443	66.40250000	-0.00003557
1.60000000	66.55996633	66.56000000	-0.00003367
1.65000000	66.72246890	66.72250000	-0.00003110
1.70000000	66.88997206	66.89000000	-0.00002794
1.75000000	67.06247575	67.06250000	-0.00002425
1.80000000	67.23997989	67.24000000	-0.00002011
1.85000000	67.42248443	67.42250000	-0.00001557
1.90000000	67.60998932	67.61000000	-0.00001068
1.95000000	67.80249452	67.80250000	-0.00000548
2.00000000	68.00000000	68.00000000	0.00000000
Норма погрешности решения: 0.00011355692869127565

Результат при  t_j = 9.0
setka	    q	        u	         q - u
1.10000000	82.21000000	82.21000000	0.00000000
1.15000000	82.32248892	82.32250000	-0.00001108
1.20000000	82.43998027	82.44000000	-0.00001973
1.25000000	82.56247369	82.56250000	-0.00002631
1.30000000	82.68996891	82.69000000	-0.00003109
1.35000000	82.82246567	82.82250000	-0.00003433
1.40000000	82.95996375	82.96000000	-0.00003625
1.45000000	83.10246300	83.10250000	-0.00003700
1.50000000	83.24996326	83.25000000	-0.00003674
1.55000000	83.40246439	83.40250000	-0.00003561
1.60000000	83.55996629	83.56000000	-0.00003371
1.65000000	83.72246887	83.72250000	-0.00003113
1.70000000	83.88997204	83.89000000	-0.00002796
1.75000000	84.06247572	84.06250000	-0.00002428
1.80000000	84.23997987	84.24000000	-0.00002013
1.85000000	84.42248441	84.42250000	-0.00001559
1.90000000	84.60998931	84.61000000	-0.00001069
1.95000000	84.80249452	84.80250000	-0.00000548
2.00000000	85.00000000	85.00000000	0.00000000
Норма погрешности решения: 0.00011366561792791935

Результат при  t_j = 10.0
setka	    q	        u	         q - u
1.10000000	101.21000000	101.21000000	0.00000000
1.15000000	101.32248892	101.32250000	-0.00001108
1.20000000	101.43998026	101.44000000	-0.00001974
1.25000000	101.56247369	101.56250000	-0.00002631
1.30000000	101.68996891	101.69000000	-0.00003109
1.35000000	101.82246566	101.82250000	-0.00003434
