"A1";"A4";"A6";"A7";"A9";"A10";"A11";"A12";"A14";"A15";"A16"
"b";"u";"q";"v";"t";"t";7;"t";100;809;"+"
"b";"y";"k";"v";"f";"f";0;"f";200;0;"-"
"b";"u";"w";"v";"t";"f";0;"f";120;2206;"+"
"b";"u";"c";"h";"f";"f";0;"f";320;13;"-"
"b";"y";"ff";"ff";"f";"t";2;"f";160;1;"-"
"b";"u";"x";"h";"t";"t";1;"f";100;0;"+"
"b";"y";"c";"v";"f";"f";0;"t";160;0;"-"
"b";"u";"w";"v";"f";"t";1;"f";272;444;"-"
"b";"u";"d";"v";"f";"f";0;"f";144;0;"-"
"b";"y";"aa";"v";"f";"f";0;"t";120;475;"-"
"b";"u";"i";"bb";"f";"f";0;"f";550;0;"-"
"a";"y";"j";"ff";"f";"f";0;"f";86;0;"-"
"b";"y";"k";"v";"f";"t";1;"t";280;80;"-"
"b";"u";"m";"bb";"t";"t";12;"t";410;2510;"+"
"b";"u";"d";"v";"f";"f";0;"t";0;350;"-"
"b";"u";"m";"v";"t";"t";3;"f";260;15108;"+"
"a";"u";"c";"v";"t";"t";14;"f";0;2200;"+"
"b";"u";"i";"h";"t";"f";0;"f";400;0;"+"
"b";"y";"i";"bb";"f";"f";0;"t";480;0;"-"
"a";"u";"w";"v";"t";"t";6;"t";40;600;"+"
"a";"u";"c";"v";"f";"t";1;"t";40;154;"-"
"b";"u";"k";"v";"t";"t";7;"f";150;1270;"+"
"a";"u";"c";"h";"t";"f";0;"f";340;0;"+"
"b";"u";"c";"n";"f";"t";2;"t";160;587;"-"
"b";"u";"cc";"h";"t";"t";9;"f";399;827;"+"
"a";"u";"i";"h";"f";"f";0;"f";260;246;"-"
"b";"y";"m";"v";"f";"f";0;"t";130;0;"-"
"b";"u";"m";"v";"f";"t";4;"f";254;1950;"-"
"b";"u";"x";"h";"t";"t";8;"f";0;0;"+"
"b";"u";"d";"v";"f";"f";0;"f";168;0;"-"
"a";"y";"q";"h";"f";"f";0;"f";340;0;"-"
"b";"u";"w";"v";"t";"t";11;"t";434;35;"+"
"b";"u";"x";"h";"t";"t";4;"t";253;857;"+"
"b";"y";"c";"h";"t";"t";3;"t";140;210;"-"
"b";"u";"c";"v";"t";"t";11;"t";60;2184;"+"
"b";"u";"cc";"h";"t";"t";6;"f";160;2072;"+"
"b";"u";"q";"h";"t";"f";0;"f";100;0;"+"
"b";"u";"k";"v";"f";"f";0;"t";300;2;"-"
"b";"u";"c";"h";"t";"f";0;"f";260;200;"+"
"b";"y";"cc";"v";"f";"f";0;"f";180;0;"-"
"b";"u";"aa";"v";"f";"t";1;"f";80;21;"-"
"b";"u";"k";"v";"t";"t";15;"f";0;11202;"+"
"a";"u";"q";"v";"f";"t";1;"t";0;160;"-"
"b";"y";"c";"v";"f";"f";0;"f";170;179;"-"
"b";"u";"aa";"v";"t";"f";0;"t";443;0;"-"
"b";"u";"w";"v";"t";"t";6;"t";500;10000;"+"
"b";"u";"q";"v";"t";"f";0;"t";60;400;"+"
"b";"u";"c";"v";"t";"t";7;"t";96;5124;"+"
"a";"y";"q";"h";"t";"t";14;"f";0;2300;"+"
"b";"u";"q";"v";"f";"f";0;"f";200;0;"-"
"a";"u";"q";"v";"f";"t";1;"f";108;98;"-"
"b";"u";"k";"v";"f";"t";11;"f";0;0;"-"
"b";"u";"cc";"v";"t";"t";1;"t";120;0;"+"
"a";"u";"q";"v";"t";"t";7;"f";129;3257;"+"
"a";"u";"k";"v";"t";"t";4;"f";380;500;"+"
"b";"u";"w";"v";"t";"t";3;"t";329;0;"-"
"b";"y";"m";"v";"f";"f";0;"t";0;4000;"-"
"b";"u";"w";"v";"t";"t";5;"t";100;3;"+"
"a";"y";"e";"dd";"f";"f";0;"f";260;0;"-"
"a";"u";"c";"v";"f";"t";2;"t";200;394;"-"
"b";"u";"c";"v";"f";"f";0;"f";80;0;"-"
"b";"u";"c";"v";"f";"f";0;"t";320;0;"-"
"b";"u";"w";"v";"t";"t";14;"f";383;1344;"+"
"b";"u";"d";"v";"f";"f";0;"t";0;0;"-"
"b";"u";"w";"v";"t";"t";2;"t";330;0;"+"
"b";"u";"e";"v";"f";"t";1;"f";560;0;"+"
"b";"u";"k";"h";"f";"f";0;"t";340;0;"-"
"b";"y";"c";"v";"f";"f";0;"t";112;6;"-"
"a";"y";"ff";"ff";"f";"f";0;"t";0;4;"-"
"b";"u";"c";"v";"t";"t";3;"f";0;0;"+"
"b";"u";"m";"v";"t";"t";5;"t";108;1097;"+"
"b";"u";"c";"h";"t";"t";6;"f";220;948;"+"
"b";"u";"cc";"h";"t";"t";12;"t";583;713;"+"
"b";"u";"ff";"ff";"f";"t";1;"f";70;6;"-"
"a";"y";"x";"v";"f";"f";0;"f";280;13;"-"
"b";"y";"k";"h";"f";"f";0;"t";0;17;"-"
"b";"u";"q";"v";"f";"f";0;"f";108;7;"-"
"a";"u";"cc";"v";"t";"f";0;"t";980;0;"-"
