        A1         A4         A6         A7         A9        A10        A11        A12        A14        A15        A16
       NAN  2.048E-01  6.723E-01  1.449E-01  2.507E-01  2.887E-01  3.007E-01  7.582E-01  2.398E-02  8.392E-01  3.307E-01
 2.048E-01        NAN  9.990E-03  2.468E-01  2.098E-02  9.990E-04  9.990E-04  6.783E-01  8.951E-01  2.517E-01  9.990E-04
 6.723E-01  9.990E-03        NAN  9.990E-04  9.990E-04  9.990E-04  9.990E-04  9.121E-01  7.692E-02  1.898E-02  9.990E-04
 1.449E-01  2.468E-01  9.990E-04        NAN  9.990E-04  2.547E-01  7.792E-02  2.298E-02  1.998E-02  1.429E-01  9.990E-04
 2.507E-01  2.098E-02  9.990E-04  9.990E-04        NAN  9.990E-04  9.990E-04  1.868E-01  7.792E-02  9.990E-04  9.990E-04
 2.887E-01  9.990E-04  9.990E-04  2.547E-01  9.990E-04        NAN  9.990E-04  1.000E+00  1.339E-01  9.990E-04  9.990E-04
 3.007E-01  9.990E-04  9.990E-04  7.792E-02  9.990E-04  9.990E-04        NAN  9.940E-01  5.195E-02  9.990E-04  9.990E-04
 7.582E-01  6.783E-01  9.121E-01  2.298E-02  1.868E-01  1.000E+00  9.940E-01        NAN  5.994E-03  8.292E-02  8.551E-01
 2.398E-02  8.951E-01  7.692E-02  1.998E-02  7.792E-02  1.339E-01  5.195E-02  5.994E-03        NAN  5.495E-01  1.499E-02
 8.392E-01  2.517E-01  1.898E-02  1.429E-01  9.990E-04  9.990E-04  9.990E-04  8.292E-02  5.495E-01        NAN  9.990E-04
 3.307E-01  9.990E-04  9.990E-04  9.990E-04  9.990E-04  9.990E-04  9.990E-04  8.551E-01  1.499E-02  9.990E-04        NAN
