        A1         A4         A6         A7         A9        A10        A11        A12        A14        A15        A16
 1.000E+00  5.787E-02  1.880E-02 -6.516E-02  5.466E-02  5.162E-02  5.310E-02 -1.369E-02 -1.057E-01  1.948E-02  4.388E-02
 5.787E-02  1.000E+00  1.210E-01  5.243E-02  1.097E-01  1.604E-01  1.630E-01  1.852E-02  1.187E-03  6.524E-02  2.067E-01
 1.880E-02  1.210E-01  1.000E+00  3.311E-01  3.051E-01  2.271E-01  2.221E-01  5.358E-03  8.224E-02  1.154E-01  3.762E-01
-6.516E-02  5.243E-02  3.311E-01  1.000E+00  2.515E-01  4.932E-02  7.902E-02  9.838E-02  1.173E-01  7.218E-02  2.524E-01
 5.466E-02  1.097E-01  3.051E-01  2.515E-01  1.000E+00  4.456E-01  4.949E-01  6.296E-02 -8.152E-02  1.840E-01  7.332E-01
 5.162E-02  1.604E-01  2.271E-01  4.932E-02  4.456E-01  1.000E+00  9.507E-01  8.940E-04 -8.984E-02  3.790E-01  4.716E-01
 5.310E-02  1.630E-01  2.221E-01  7.902E-02  4.949E-01  9.507E-01  1.000E+00 -5.362E-03 -1.197E-01  4.072E-01  5.286E-01
-1.369E-02  1.852E-02  5.358E-03  9.838E-02  6.296E-02  8.940E-04 -5.362E-03  1.000E+00  1.384E-01 -7.790E-02  1.162E-02
-1.057E-01  1.187E-03  8.224E-02  1.173E-01 -8.152E-02 -8.984E-02 -1.197E-01  1.384E-01  1.000E+00 -4.160E-02 -1.137E-01
 1.948E-02  6.524E-02  1.154E-01  7.218E-02  1.840E-01  3.790E-01  4.072E-01 -7.790E-02 -4.160E-02  1.000E+00  2.969E-01
 4.388E-02  2.067E-01  3.762E-01  2.524E-01  7.332E-01  4.716E-01  5.286E-01  1.162E-02 -1.137E-01  2.969E-01  1.000E+00
